dataset_row,tweet_id,dataset_id_raw,tweet_url,text_from_dataset_original,text_from_live_or_archived_source,retrieval_status,retrieval_source,retrieved_at,text_match_status,text_from_dataset_translated,translated_text_match_status,http_status,error,returned_url,author_url,evidence_sha256,text_match_status_initial,source_difference_class,material_source_text_difference,possible_translation_stage_spatial_change,severe_translation_stage_inspected
12,548301339470491649,5.48E+17,https://twitter.com/dtptraffic/status/548301339470491649,Traffic Alert Breakdown container no. HR66B 0285 has been removed from Sarai Kale Khan flyover.,"Traffic Alert

Breakdown container no. HR66B 0285 has been removed from Sarai Kale Khan flyover.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548301339470491649&omit_script=true&dnt=true,2026-09-11T19:00:10.393812+00:00,MINOR_FORMATTING_DIFFERENCE,Breakdown container no. HR66B 0285 has been removed from Sarai Kale Khan flyover.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548301339470491649,https://x.com/dtptraffic,79c4e156163effa18c331afd31aad32b288f00de1ea944451761135d3cf0594a,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
13,548301072427925504,5.48E+17,https://twitter.com/dtptraffic/status/548301072427925504,Traffic Alert Breakdown truck no. HR39B 9698 has been removed from Punjabi Bagh Club.,"Traffic Alert

Breakdown truck no. HR39B 9698 has been removed from Punjabi Bagh Club.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548301072427925504&omit_script=true&dnt=true,2026-09-11T19:00:10.393812+00:00,MINOR_FORMATTING_DIFFERENCE,Breakdown truck no. HR39B 9698 has been removed from Punjabi Bagh Club.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548301072427925504,https://x.com/dtptraffic,ee35cd57f59e052e45785b2773c46a07f29508f91753c06a82127318c5132da4,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
14,547730864256589826,5.48E+17,https://twitter.com/dtptraffic/status/547730864256589826,Traffic Alert पटेल चौक से जी. पी. ओ. (अशोक रोड़) की तरफ जाने वाला मार्ग यातायात के लिए सामान्य है|,"Traffic Alert

पटेल चौक से जी. पी. ओ. (अशोक रोड़) की तरफ जाने वाला मार्ग यातायात के लिए  सामान्य है|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F547730864256589826&omit_script=true&dnt=true,2026-09-11T19:00:10.892913+00:00,MINOR_FORMATTING_DIFFERENCE,Got from Patel Chowk P.O. The road going towards Ashoka Road is normal for traffic.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/547730864256589826,https://x.com/dtptraffic,c97817760a81a0f0918a406cffc8d48d8ec2f64329b035c05393fd7874971ce7,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,True,True
15,547326169830670337,5.47E+17,https://twitter.com/dtptraffic/status/547326169830670337,Traffic Alert A break down tampo has been removed from Punjabi Bagh Flyover.,"Traffic Alert 

A break down tampo has been removed from Punjabi Bagh Flyover.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F547326169830670337&omit_script=true&dnt=true,2026-09-11T19:00:10.903491+00:00,MINOR_FORMATTING_DIFFERENCE,A break down tampo has been removed from Punjabi Bagh Flyover.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/547326169830670337,https://x.com/dtptraffic,6775162ae82dbe4a60c553570a156ae911457ffbcf686ab83b862bdd40188fec,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
16,547296604232110081,5.47E+17,https://twitter.com/dtptraffic/status/547296604232110081,Traffic Alert Sansad Marg has been closed due to demonstration. Kindly avoid this route. Inconvenience regretted.,"Traffic Alert

Sansad Marg has been closed due to demonstration. Kindly avoid this route. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F547296604232110081&omit_script=true&dnt=true,2026-09-11T19:00:10.907114+00:00,MINOR_FORMATTING_DIFFERENCE,Sansad Marg has been closed due to demonstration. Kindly avoid this route. Inconvenience regretted.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/547296604232110081,https://x.com/dtptraffic,807af5d6f68d76f32a34b1725c3c3ac64c57e15f6547d801f80e62dab24ddf56,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
17,547019854730231809,5.47E+17,https://twitter.com/dtptraffic/status/547019854730231809,"Traffic Alert अशोका रोड, फिरोजशाह रोड और कनाट प्लेस पर यातायात ज्यादा है I","Traffic Alert 

अशोका रोड, फिरोजशाह रोड और कनाट प्लेस पर यातायात ज्यादा है I",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F547019854730231809&omit_script=true&dnt=true,2026-09-11T19:00:11.111661+00:00,MINOR_FORMATTING_DIFFERENCE,"There is more traffic on Ashoka Road, Ferozeshah Road and Connaught Place.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/547019854730231809,https://x.com/dtptraffic,89fd930cff878a7d8b7033a11a80c60b3e9d941bd39f635c64e69e6c24d5e9ca,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
18,547019677063708672,5.47E+17,https://twitter.com/dtptraffic/status/547019677063708672,Traffic Alert न्यू दिल्ली से मूलचंद की तरफ जाने वाले मार्ग में लाला लाजपत राय मार्ग पर यातायात ज्यादा हो गया है I असुविधा के लिए खेद है I,"Traffic Alert 

न्यू दिल्ली से मूलचंद की तरफ जाने वाले मार्ग में लाला लाजपत राय मार्ग पर यातायात ज्यादा हो गया है I असुविधा के लिए खेद है I",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F547019677063708672&omit_script=true&dnt=true,2026-09-11T19:00:11.166841+00:00,MINOR_FORMATTING_DIFFERENCE,The traffic on Lala Lajpat Rai route from New Delhi to Moolchand has increased much. I am sorry for the inconvenience.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/547019677063708672,https://x.com/dtptraffic,fdd2d8c6885366baf483f01c192699ccfa676d8aa208ac098b5b9eca9dd683cf,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
19,547003887660855296,5.47E+17,https://twitter.com/dtptraffic/status/547003887660855296,"Traffic Alert Traffic is heavy on Simon Boliver Marg,Upper Ridge Road because a car had caught fire. Inconvenience regretted.","Traffic Alert

Traffic is heavy on Simon Boliver Marg,Upper Ridge Road because a car had caught fire. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F547003887660855296&omit_script=true&dnt=true,2026-09-11T19:00:11.174516+00:00,MINOR_FORMATTING_DIFFERENCE,"Traffic is heavy on Simon Boliver Marg,Upper Ridge Road because a car had caught fire. Inconvenience regretted.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/547003887660855296,https://x.com/dtptraffic,540617834c8ca379892529c3925f45b5934057896084633a55f41d8fbf7a50c2,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
20,546868453609865216,5.47E+17,https://twitter.com/dtptraffic/status/546868453609865216,Traffic Alert Ashoka Road has been closed partially for heavy vehicles. Kindly avoid this route. Inconvenience regretted.,"Traffic Alert

Ashoka Road has been closed partially for heavy vehicles. Kindly avoid this route. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F546868453609865216&omit_script=true&dnt=true,2026-09-11T19:00:11.181360+00:00,MINOR_FORMATTING_DIFFERENCE,Ashoka Road has been closed partially for heavy vehicles. Kindly avoid this route. Inconvenience regretted.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/546868453609865216,https://x.com/dtptraffic,f32896912ad831327e1696099b75d6165a9b736e76cd10df921bb7273cd4c908,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
21,546866440666906624,5.47E+17,https://twitter.com/dtptraffic/status/546866440666906624,Traffic Alert Sansad Marg has been closed due to rally. Kindly avoid this route. Inconvenience regretted.,"Traffic Alert

Sansad Marg has been closed due to rally. Kindly avoid this route. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F546866440666906624&omit_script=true&dnt=true,2026-09-11T19:00:11.367918+00:00,MINOR_FORMATTING_DIFFERENCE,Sansad Marg has been closed due to rally. Inconvenience regretted.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/546866440666906624,https://x.com/dtptraffic,c25b2a9af4272390cd92ae1fbaf5b275a982c0863c8cb52653f4d2ff031bf424,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
22,546335344917221376,5.46E+17,https://twitter.com/dtptraffic/status/546335344917221376,Traffic Alert Now traffic is normal on Patel Road.,"Traffic Alert 

Now traffic is normal on Patel Road.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F546335344917221376&omit_script=true&dnt=true,2026-09-11T19:00:11.591559+00:00,MINOR_FORMATTING_DIFFERENCE,Now traffic is normal on Patel Road.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/546335344917221376,https://x.com/dtptraffic,b7f88c86e2d5016529d8712fdbeb1c59e4e1a7c0194f8fa41ec9ab9531e5c1de,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
23,546257118899503104,5.46E+17,https://twitter.com/dtptraffic/status/546257118899503104,Traffic Alert Traffic heavy on Patel Road due to traffic congestion on Ring Road. Inconvenience Regretted.,"Traffic Alert 

Traffic heavy on Patel Road due to traffic congestion on Ring Road. Inconvenience Regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F546257118899503104&omit_script=true&dnt=true,2026-09-11T19:00:11.661256+00:00,MINOR_FORMATTING_DIFFERENCE,Traffic heavy on Patel Road due to traffic congestion on Ring Road. Inconvenience Regretted.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/546257118899503104,https://x.com/dtptraffic,dac72454bd2ed3e2420588cb76f4d7ac8d601ee0493c8d8b77e2a64f28737daf,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
24,545847621718274048,5.46E+17,https://twitter.com/dtptraffic/status/545847621718274048,"Traffic Alert Sansad Marg has been closed. Due to this, traffic will remain heavy on Ashoka Road. Inconvenience regretted.","Traffic Alert

Sansad Marg has been closed. Due to this, traffic will remain heavy on Ashoka Road. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545847621718274048&omit_script=true&dnt=true,2026-09-11T19:00:11.781332+00:00,MINOR_FORMATTING_DIFFERENCE,"Sansad Marg has been closed. Due to this, traffic will remain heavy on Ashoka Road. Inconvenience regretted.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545847621718274048,https://x.com/dtptraffic,1da7b56db60bc52bdf6bc45333d97bb617f3cfc22e30911602cad7b44a52e09e,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
25,545547646920699904,5.46E+17,https://twitter.com/dtptraffic/status/545547646920699904,Traffic Alert Traffic is heavy form Inderlok to Shastri Nagar.,"Traffic Alert 

Traffic is heavy form Inderlok to Shastri Nagar.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545547646920699904&omit_script=true&dnt=true,2026-09-11T19:00:11.965563+00:00,MINOR_FORMATTING_DIFFERENCE,Traffic is heavy form Inderlok to Shastri Nagar.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545547646920699904,https://x.com/dtptraffic,4c5cbde37b6ee5e020ee3a10c7b630808744fff666fc84e8973cb85e712a3d02,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
26,545509013358915584,5.46E+17,https://twitter.com/dtptraffic/status/545509013358915584,Traffic Alert Sansad Marg has been closed by Local Police due to procession. Inconvenience regretted.,"Traffic Alert 

Sansad Marg has been closed by Local Police due to procession. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545509013358915584&omit_script=true&dnt=true,2026-09-11T19:00:11.975077+00:00,MINOR_FORMATTING_DIFFERENCE,Sansad Marg has been closed by Local Police due to procession. Inconvenience regretted.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545509013358915584,https://x.com/dtptraffic,08b27d059edd231b34ae7bb2983739db0d4477eb235ce1529b5b7ac7cb251af1,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
27,545476422815346688,5.45E+17,https://twitter.com/dtptraffic/status/545476422815346688,Traffic Alert Breakdown DTC Bus No. DL 1PC 2138 has been removed from the place near Mayapuri flyover. Traffic will be normalized soon.,"Traffic Alert

Breakdown DTC Bus No. DL 1PC 2138 has been removed from the place near Mayapuri flyover. Traffic will be normalized soon.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545476422815346688&omit_script=true&dnt=true,2026-09-11T19:00:12.194243+00:00,MINOR_FORMATTING_DIFFERENCE,Breakdown DTC Bus No. DL 1PC 2138 has been removed from the place near Mayapuri flyover. Traffic will be normalized soon.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545476422815346688,https://x.com/dtptraffic,6c3fc0ff2740250cb617bcb41d07c5f83721283958f4cd8c5b3e29f77fddc226,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
28,545470322959335425,5.45E+17,https://twitter.com/dtptraffic/status/545470322959335425,Traffic Alert Traffic is heavy in the carriageway running from Modi Mill towards Kalkaji. Kindly avoid this route. Inconvenience regretted.,"Traffic Alert

Traffic is heavy in the carriageway running from Modi Mill towards Kalkaji. Kindly avoid this route. Inconvenience regretted.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545470322959335425&omit_script=true&dnt=true,2026-09-11T19:00:12.409467+00:00,MINOR_FORMATTING_DIFFERENCE,Traffic is heavy in the carriageway running from Modi Mill towards Kalkaji. Kindly avoid this route. Inconvenience regretted.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545470322959335425,https://x.com/dtptraffic,1128cfed4fa94b3780fdae109370fd678f23e31aa17e7b814441fc366ebd7104,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
29,545058764509167616,5.45E+17,https://twitter.com/dtptraffic/status/545058764509167616,Traffic Alert Breakdown DTC Bus No. DL 1PC 7605 has been removed from the place Minto Road Outer Circle.,"Traffic Alert

Breakdown DTC Bus No. DL 1PC 7605 has been removed from the  place Minto Road Outer Circle.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545058764509167616&omit_script=true&dnt=true,2026-09-11T19:00:12.428603+00:00,MINOR_FORMATTING_DIFFERENCE,Breakdown DTC Bus No. DL 1PC 7605 has been removed from the place Minto Road Outer Circle.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545058764509167616,https://x.com/dtptraffic,eb5c92867204dd481356742a67b0424ba71dbf496b1d570ed26f1a78651de6d0,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
30,545058030606639104,5.45E+17,https://twitter.com/dtptraffic/status/545058030606639104,Traffic Alert Breakdown DTC Bus No. DL 1PC 6587 has been removed from the carriageway Uttam Nagar towards Delhi Cantt.,"Traffic Alert

Breakdown DTC Bus No. DL 1PC 6587 has been removed from the carriageway Uttam Nagar towards Delhi Cantt.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F545058030606639104&omit_script=true&dnt=true,2026-09-11T19:00:12.486641+00:00,MINOR_FORMATTING_DIFFERENCE,Breakdown DTC Bus No. DL 1PC 6587 has been removed from the carriageway Uttam Nagar towards Delhi Cantonment.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/545058030606639104,https://x.com/dtptraffic,c836d9965c6355154599abb6b058087176340676c78ddb6cfa33f1f1b48bc853,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
31,544876520309678080,5.45E+17,https://twitter.com/dtptraffic/status/544876520309678080,"Traffic Alert DTC बस DL1PC 7605 मिन्टो रोड आउटर सर्किल पर ख़राब है, जिससे मिन्टो रोड आउटर सर्किल पर यातायात ज्यादा है I","Traffic Alert 

DTC बस DL1PC 7605 मिन्टो रोड  आउटर सर्किल पर ख़राब है, जिससे मिन्टो रोड  आउटर सर्किल पर यातायात ज्यादा है I",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F544876520309678080&omit_script=true&dnt=true,2026-09-11T19:00:12.494353+00:00,MINOR_FORMATTING_DIFFERENCE,"DTC Bus DL1PC 7605 Minto Road is bad on Outer Circle, which has more traffic on the Minto Road Outer Circle.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/544876520309678080,https://x.com/dtptraffic,726a236b0154b9cb7db5332d0e41edd2b1449d140e90b02ec02e7b53c9f33ba9,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
